,CustomerID,Recency,RecencyCluster,Frequency,FrequencyCluster,Revenue,RevenueCluster,OverallScore,Segment
0,17850.0,301,0,312,1,5288.630000000009,1,2,Low-Value
1,14688.0,7,3,359,1,5107.379999999999,1,5,High-Value
2,13767.0,1,3,399,1,16945.71000000001,1,5,High-Value
3,15513.0,30,3,314,1,14520.079999999996,1,5,High-Value
4,14849.0,21,3,392,1,7904.279999999997,1,5,High-Value
5,12921.0,3,3,741,1,16389.740000000016,1,5,High-Value
6,13468.0,1,3,306,1,5656.750000000002,1,5,High-Value
7,17690.0,29,3,258,1,4748.450000000001,1,5,High-Value
8,17017.0,2,3,268,1,8574.110000000002,1,5,High-Value
9,15601.0,10,3,414,1,6745.359999999997,1,5,High-Value
10,13418.0,11,3,314,1,5845.439999999999,1,5,High-Value
11,14390.0,9,3,291,1,4592.470000000003,1,5,High-Value
12,14060.0,4,3,203,1,6135.379999999998,1,5,High-Value
13,14180.0,10,3,248,1,4640.769999999999,1,5,High-Value
14,17581.0,0,3,452,1,10736.109999999991,1,5,High-Value
15,15640.0,3,3,495,1,12433.339999999982,1,5,High-Value
16,14031.0,6,3,258,1,14634.639999999992,1,5,High-Value
17,12971.0,3,3,308,1,10930.259999999998,1,5,High-Value
18,17757.0,0,3,742,1,5585.4899999999925,1,5,High-Value
19,18225.0,2,3,286,1,5361.02,1,5,High-Value
20,13013.0,0,3,222,1,4786.990000000001,1,5,High-Value
21,17243.0,0,3,407,1,8628.55,1,5,High-Value
22,18055.0,6,3,363,1,6752.14,1,5,High-Value
23,18109.0,1,3,454,1,7925.319999999997,1,5,High-Value
24,16839.0,8,3,298,1,15357.779999999988,1,5,High-Value
25,16814.0,13,3,325,1,6500.600000000003,1,5,High-Value
26,13269.0,0,3,320,1,5315.919999999999,1,5,High-Value
27,17858.0,5,3,199,1,5155.659999999998,1,5,High-Value
28,15023.0,2,3,563,1,6763.15999999999,1,5,High-Value
29,15502.0,15,3,252,1,5541.459999999999,1,5,High-Value
30,17677.0,1,3,321,1,16219.22,1,5,High-Value
31,17428.0,0,3,343,1,17078.450000000004,1,5,High-Value
32,16161.0,1,3,502,1,5352.969999999997,1,5,High-Value
33,14189.0,1,3,277,1,4604.3099999999995,1,5,High-Value
34,15078.0,6,3,451,1,9623.350000000022,1,5,High-Value
35,14085.0,1,3,451,1,4435.789999999997,1,5,High-Value
36,16722.0,16,3,228,1,4711.21,1,5,High-Value
37,14667.0,10,3,576,1,9231.200000000004,1,5,High-Value
